U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
0.569609,0.00123072,0,1026.9,1,0.16,0.6,-0.84,0.5,80
0.574491,0.00118968,0,1026.92,1,0.162,0.6,-0.838,0.5,81
0.579373,0.00114865,0,1026.94,1,0.164,0.6,-0.836,0.5,82
0.584255,0.00110762,0,1026.96,1,0.166,0.6,-0.834,0.5,83
0.589137,0.00106659,0,1026.98,1,0.168,0.6,-0.832,0.5,84
0.59402,0.00102556,0,1027,1,0.17,0.6,-0.83,0.5,85
0.598902,0.000984527,0,1027.02,1,0.172,0.6,-0.828,0.5,86
0.603784,0.000943495,0,1027.04,1,0.174,0.6,-0.826,0.5,87
0.608666,0.000902464,0,1027.06,1,0.176,0.6,-0.824,0.5,88
0.613548,0.000861433,0,1027.08,1,0.178,0.6,-0.822,0.5,89
0.61843,0.000820401,0,1027.1,1,0.18,0.6,-0.82,0.5,90
0.622844,0.000777595,0,1027.12,1,0.182,0.6,-0.818,0.5,91
0.627189,0.000734527,0,1027.13,1,0.184,0.6,-0.816,0.5,92
0.631534,0.00069146,0,1027.15,1,0.186,0.6,-0.814,0.5,93
0.635879,0.000648391,0,1027.17,1,0.188,0.6,-0.812,0.5,94
0.640224,0.000605324,0,1027.18,1,0.19,0.6,-0.81,0.5,95
0.644568,0.000562257,0,1027.2,1,0.192,0.6,-0.808,0.5,96
0.648913,0.000519189,0,1027.21,1,0.194,0.6,-0.806,0.5,97
0.653258,0.000476122,0,1027.23,1,0.196,0.6,-0.804,0.5,98
0.657603,0.000433054,0,1027.25,1,0.198,0.6,-0.802,0.5,99
0.661948,0.000389987,0,1027.26,1,0.2,0.6,-0.8,0.5,100
0.666293,0.000346919,0,1027.28,1,0.202,0.6,-0.798,0.5,101
0.670638,0.000303852,0,1027.3,1,0.204,0.6,-0.796,0.5,102
0.674982,0.000260785,0,1027.31,1,0.206,0.6,-0.794,0.5,103
0.679327,0.000217717,0,1027.33,1,0.208,0.6,-0.792,0.5,104
0.683672,0.00017465,0,1027.35,1,0.21,0.6,-0.79,0.5,105
0.688017,0.000131582,0,1027.36,1,0.212,0.6,-0.788,0.5,106
0.692362,8.85146e-05,0,1027.38,1,0.214,0.6,-0.786,0.5,107
0.696707,4.54464e-05,0,1027.39,1,0.216,0.6,-0.784,0.5,108
0.701052,2.37944e-06,0,1027.41,1,0.218,0.6,-0.782,0.5,109
0.705397,-4.06888e-05,0,1027.43,1,0.22,0.6,-0.78,0.5,110
0.709741,-8.37557e-05,0,1027.44,1,0.222,0.6,-0.778,0.5,111
0.71369,-0.000117314,0,1027.46,1,0.224,0.6,-0.776,0.5,112
0.717543,-0.00014859,0,1027.47,1,0.226,0.6,-0.774,0.5,113
0.721396,-0.000179864,0,1027.48,1,0.228,0.6,-0.772,0.5,114
0.725249,-0.00021114,0,1027.49,1,0.23,0.6,-0.77,0.5,115
0.729103,-0.000242415,0,1027.51,1,0.232,0.6,-0.768,0.5,116
0.732956,-0.000273691,0,1027.52,1,0.234,0.6,-0.766,0.5,117
0.736809,-0.000304965,0,1027.53,1,0.236,0.6,-0.764,0.5,118
0.740662,-0.00033624,0,1027.54,1,0.238,0.6,-0.762,0.5,119
0.744515,-0.000367516,0,1027.56,1,0.24,0.6,-0.76,0.5,120
0.748369,-0.000398791,0,1027.57,1,0.242,0.6,-0.758,0.5,121
0.752222,-0.000430066,0,1027.58,1,0.244,0.6,-0.756,0.5,122
0.756075,-0.000461341,0,1027.6,1,0.246,0.6,-0.754,0.5,123
0.759928,-0.000492617,0,1027.61,1,0.248,0.6,-0.752,0.5,124
0.763781,-0.000523892,0,1027.62,1,0.25,0.6,-0.75,0.5,125
0.767635,-0.000555167,0,1027.63,1,0.252,0.6,-0.748,0.5,126
0.771488,-0.000586442,0,1027.65,1,0.254,0.6,-0.746,0.5,127
0.775341,-0.000617717,0,1027.66,1,0.256,0.6,-0.744,0.5,128
0.779194,-0.000648993,0,1027.67,1,0.258,0.6,-0.742,0.5,129
0.783047,-0.000680268,0,1027.68,1,0.26,0.6,-0.74,0.5,130
0.786901,-0.000711543,0,1027.7,1,0.262,0.6,-0.738,0.5,131
0.790754,-0.000742818,0,1027.71,1,0.264,0.6,-0.736,0.5,132
0.794607,-0.000774093,0,1027.72,1,0.266,0.6,-0.734,0.5,133
0.79846,-0.000805369,0,1027.73,1,0.268,0.6,-0.732,0.5,134
0.802314,-0.000836643,0,1027.75,1,0.27,0.6,-0.73,0.5,135
0.806167,-0.000867919,0,1027.76,1,0.272,0.6,-0.728,0.5,136
0.809869,-0.000892971,0,1027.77,1,0.274,0.6,-0.726,0.5,137
0.813247,-0.000904617,0,1027.78,1,0.276,0.6,-0.724,0.5,138
0.816624,-0.000916262,0,1027.79,1,0.278,0.6,-0.722,0.5,139
0.820002,-0.000927908,0,1027.8,1,0.28,0.6,-0.72,0.5,140
0.82338,-0.000939554,0,1027.81,1,0.282,0.6,-0.718,0.5,141
0.826757,-0.0009512,0,1027.82,1,0.284,0.6,-0.716,0.5,142
0.830135,-0.000962846,0,1027.83,1,0.286,0.6,-0.714,0.5,143
0.833512,-0.000974491,0,1027.84,1,0.288,0.6,-0.712,0.5,144
0.83689,-0.000986137,0,1027.85,1,0.29,0.6,-0.71,0.5,145
0.840268,-0.000997783,0,1027.86,1,0.292,0.6,-0.708,0.5,146
0.843645,-0.00100943,0,1027.87,1,0.294,0.6,-0.706,0.5,147
0.847023,-0.00102107,0,1027.88,1,0.296,0.6,-0.704,0.5,148
0.850401,-0.00103272,0,1027.89,1,0.298,0.6,-0.702,0.5,149
0.853778,-0.00104437,0,1027.9,1,0.3,0.6,-0.7,0.5,150
0.857156,-0.00105601,0,1027.91,1,0.302,0.6,-0.698,0.5,151
0.860533,-0.00106766,0,1027.91,1,0.304,0.6,-0.696,0.5,152
0.863911,-0.0010793,0,1027.92,1,0.306,0.6,-0.694,0.5,153
0.867289,-0.00109095,0,1027.93,1,0.308,0.6,-0.692,0.5,154
0.870666,-0.0011026,0,1027.94,1,0.31,0.6,-0.69,0.5,155
0.874044,-0.00111424,0,1027.95,1,0.312,0.6,-0.688,0.5,156
0.877421,-0.00112589,0,1027.96,1,0.314,0.6,-0.686,0.5,157
0.880799,-0.00113753,0,1027.97,1,0.316,0.6,-0.684,0.5,158
0.884177,-0.00114918,0,1027.98,1,0.318,0.6,-0.682,0.5,159
0.887554,-0.00116082,0,1027.99,1,0.32,0.6,-0.68,0.5,160
0.890932,-0.00117247,0,1028,1,0.322,0.6,-0.678,0.5,161
0.89431,-0.00118412,0,1028.01,1,0.324,0.6,-0.676,0.5,162
0.897687,-0.00119576,0,1028.02,1,0.326,0.6,-0.674,0.5,163
0.901065,-0.00120741,0,1028.03,1,0.328,0.6,-0.672,0.5,164
0.904442,-0.00121905,0,1028.04,1,0.33,0.6,-0.67,0.5,165
0.90782,-0.0012307,0,1028.05,1,0.332,0.6,-0.668,0.5,166
0.911198,-0.00124234,0,1028.06,1,0.334,0.6,-0.666,0.5,167
0.914346,-0.00124513,0,1028.07,1,0.336,0.6,-0.664,0.5,168
0.91724,-0.00123811,0,1028.07,1,0.338,0.6,-0.662,0.5,169
0.920135,-0.00123109,0,1028.08,1,0.34,0.6,-0.66,0.5,170
0.923029,-0.00122407,0,1028.09,1,0.342,0.6,-0.658,0.5,171
0.925924,-0.00121705,0,1028.1,1,0.344,0.6,-0.656,0.5,172
0.928818,-0.00121003,0,1028.1,1,0.346,0.6,-0.654,0.5,173
0.931713,-0.00120301,0,1028.11,1,0.348,0.6,-0.652,0.5,174
0.934607,-0.00119599,0,1028.12,1,0.35,0.6,-0.65,0.5,175
0.937502,-0.00118897,0,1028.12,1,0.352,0.6,-0.648,0.5,176
