p,U:0,U:1,U:2,IntegrationTime,Vorticity:0,Vorticity:1,Vorticity:2,Rotation,AngularVelocity,Normals:0,Normals:1,Normals:2,Points:0,Points:1,Points:2,Point ID
1054.4,0.00373523,0.00410685,0,470.331,0,0,-0.044614,-5.9039e-18,0,3.82163e-08,-3.46994e-08,-1,-0.554544,-2.75624,0.5,32
1054.45,0.00345982,0.003563,0,478.292,0,0,-0.0452113,-5.9039e-18,0,3.70328e-08,-3.59598e-08,-1,-0.524314,-2.72401,0.5,33
1054.5,0.00317068,0.00303052,0,485.093,0,0,-0.045587,-5.9039e-18,0,3.5609e-08,-3.73702e-08,-1,-0.500368,-2.70019,0.5,34
1054.61,0.00276981,0.00237724,0,500.847,0,0,-0.0423045,-5.9039e-18,0,3.35069e-08,-3.9266e-08,-1,-0.449341,-2.65361,0.5,35
1054.67,0.00239505,0.00172738,0,512.806,0,0,-0.0427805,-5.9039e-18,0,3.04855e-08,-4.16553e-08,-1,-0.415219,-2.62641,0.5,36
1054.71,0.00218229,0.00134788,0,519.569,0,0,-0.0357239,-5.9039e-18,0,2.70456e-08,-4.39667e-08,-1,-0.398633,-2.61529,0.5,37
1054.73,0.00201153,0.00100796,0,527.102,0,0,-0.035765,-5.9039e-18,0,2.18991e-08,-4.67436e-08,-1,-0.381797,-2.60582,0.5,38
1054.77,0.00171335,0.000406423,0,538.931,0,0,-0.0355103,-5.9039e-18,0,1.29839e-08,-5.21344e-08,-1,-0.356982,-2.59637,0.5,39
1054.79,0.00151393,-2.7883e-06,0,547.189,0,0,-0.035105,-5.9039e-18,0,-9.0884e-10,-5.57476e-08,-1,-0.342585,-2.59457,0.5,40
1054.8,0.0013045,-0.000440198,0,556.407,0,0,-0.034447,-5.9039e-18,0,-1.92248e-08,-5.23357e-08,-1,-0.32886,-2.59675,0.5,41
1054.79,0.00105656,-0.00098905,0,573.567,0,0,-0.0242486,-5.9039e-18,0,-3.74581e-08,-4.12979e-08,-1,-0.308839,-2.60894,0.5,42
1054.77,0.000829254,-0.00150922,0,592.088,0,0,-0.022505,-5.9039e-18,0,-4.85866e-08,-2.7349e-08,-1,-0.2928,-2.63028,0.5,43
1054.72,0.00060254,-0.00204844,0,613.333,0,0,-0.0200694,-5.9039e-18,0,-5.33159e-08,-1.63108e-08,-1,-0.27923,-2.66418,0.5,44
1054.66,0.000403028,-0.00251845,0,634.937,0,0,-0.0166096,-5.9039e-18,0,-5.4933e-08,-9.53863e-09,-1,-0.269485,-2.70923,0.5,45
1054.61,0.000288886,-0.00269243,0,651.476,0,0,-0.00803943,-5.9039e-18,0,-5.54314e-08,-5.99871e-09,-1,-0.263982,-2.75105,0.5,46
1054.55,0.000182762,-0.00284498,0,668.438,0,0,-0.00664672,-5.9039e-18,0,-5.56748e-08,-2.99041e-09,-1,-0.260094,-2.79681,0.5,47
1054.41,-4.66495e-05,-0.00316661,0,707.94,0,0,-0.00333103,-5.9039e-18,-0,-5.57476e-08,9.09563e-10,-1,-0.257554,-2.90937,0.5,48
1054.25,-0.00030847,-0.00319739,0,753.549,0,0,-0.000606767,-5.9039e-18,-0,-5.549e-08,5.42997e-09,-1,-0.26552,-3.05355,0.5,49
