U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
0.37333,1.52152e-14,0,1088.46,1,18.4,-81.6,0,0.5,92
0.373346,1.57343e-14,0,1088.37,1,18.6,-81.4,0,0.5,93
0.373362,1.62533e-14,0,1088.27,1,18.8,-81.2,0,0.5,94
0.373378,1.67724e-14,0,1088.18,1,19,-81,0,0.5,95
0.373394,1.72915e-14,0,1088.08,1,19.2,-80.8,0,0.5,96
0.373409,1.78106e-14,0,1087.99,1,19.4,-80.6,0,0.5,97
0.373425,1.83297e-14,0,1087.89,1,19.6,-80.4,0,0.5,98
0.373441,1.88487e-14,0,1087.79,1,19.8,-80.2,0,0.5,99
0.373457,1.93678e-14,0,1087.7,1,20,-80,0,0.5,100
0.373473,1.98869e-14,0,1087.6,1,20.2,-79.8,0,0.5,101
0.373488,2.0406e-14,0,1087.51,1,20.4,-79.6,0,0.5,102
0.373504,2.0925e-14,0,1087.41,1,20.6,-79.4,0,0.5,103
0.37352,2.14441e-14,0,1087.31,1,20.8,-79.2,0,0.5,104
0.373536,2.19632e-14,0,1087.22,1,21,-79,0,0.5,105
0.373552,2.24823e-14,0,1087.12,1,21.2,-78.8,0,0.5,106
0.373567,2.30014e-14,0,1087.03,1,21.4,-78.6,0,0.5,107
0.373583,2.35204e-14,0,1086.93,1,21.6,-78.4,0,0.5,108
0.373599,2.40395e-14,0,1086.84,1,21.8,-78.2,0,0.5,109
0.373615,2.45586e-14,0,1086.74,1,22,-78,0,0.5,110
0.373631,2.50777e-14,0,1086.64,1,22.2,-77.8,0,0.5,111
0.373647,2.55968e-14,0,1086.55,1,22.4,-77.6,0,0.5,112
0.373662,2.61158e-14,0,1086.45,1,22.6,-77.4,0,0.5,113
0.373678,2.66349e-14,0,1086.36,1,22.8,-77.2,0,0.5,114
0.373694,2.7154e-14,0,1086.26,1,23,-77,0,0.5,115
0.37371,2.76731e-14,0,1086.17,1,23.2,-76.8,0,0.5,116
0.373726,2.81922e-14,0,1086.07,1,23.4,-76.6,0,0.5,117
0.373725,2.74273e-14,0,1085.98,1,23.6,-76.4,0,0.5,118
0.373712,2.56444e-14,0,1085.89,1,23.8,-76.2,0,0.5,119
0.373698,2.38615e-14,0,1085.8,1,24,-76,0,0.5,120
0.373685,2.20787e-14,0,1085.71,1,24.2,-75.8,0,0.5,121
0.373671,2.02958e-14,0,1085.63,1,24.4,-75.6,0,0.5,122
0.373657,1.85129e-14,0,1085.54,1,24.6,-75.4,0,0.5,123
0.373644,1.673e-14,0,1085.45,1,24.8,-75.2,0,0.5,124
0.37363,1.49471e-14,0,1085.36,1,25,-75,0,0.5,125
0.373617,1.31643e-14,0,1085.28,1,25.2,-74.8,0,0.5,126
0.373603,1.13813e-14,0,1085.19,1,25.4,-74.6,0,0.5,127
0.37359,9.59849e-15,0,1085.1,1,25.6,-74.4,0,0.5,128
0.373576,7.81557e-15,0,1085.01,1,25.8,-74.2,0,0.5,129
0.373563,6.03272e-15,0,1084.93,1,26,-74,0,0.5,130
0.373549,4.24986e-15,0,1084.84,1,26.2,-73.8,0,0.5,131
0.373536,2.46694e-15,0,1084.75,1,26.4,-73.6,0,0.5,132
0.373522,6.84083e-16,0,1084.66,1,26.6,-73.4,0,0.5,133
0.373509,-1.09884e-15,0,1084.57,1,26.8,-73.2,0,0.5,134
0.373495,-2.88169e-15,0,1084.49,1,27,-73,0,0.5,135
0.373482,-4.66455e-15,0,1084.4,1,27.2,-72.8,0,0.5,136
0.373468,-6.44747e-15,0,1084.31,1,27.4,-72.6,0,0.5,137
0.373455,-8.23033e-15,0,1084.22,1,27.6,-72.4,0,0.5,138
0.373441,-1.00132e-14,0,1084.14,1,27.8,-72.2,0,0.5,139
0.373428,-1.17961e-14,0,1084.05,1,28,-72,0,0.5,140
0.373414,-1.3579e-14,0,1083.96,1,28.2,-71.8,0,0.5,141
0.373401,-1.53619e-14,0,1083.87,1,28.4,-71.6,0,0.5,142
0.373387,-1.71447e-14,0,1083.78,1,28.6,-71.4,0,0.5,143
0.373374,-1.89277e-14,0,1083.7,1,28.8,-71.2,0,0.5,144
0.37336,-2.07105e-14,0,1083.61,1,29,-71,0,0.5,145
0.373347,-2.24934e-14,0,1083.52,1,29.2,-70.8,0,0.5,146
0.373333,-2.42763e-14,0,1083.43,1,29.4,-70.6,0,0.5,147
0.37332,-2.60591e-14,0,1083.35,1,29.6,-70.4,0,0.5,148
0.373306,-2.78421e-14,0,1083.26,1,29.8,-70.2,0,0.5,149
0.373293,-2.96249e-14,0,1083.17,1,30,-70,0,0.5,150
0.373279,-3.14078e-14,0,1083.08,1,30.2,-69.8,0,0.5,151
0.373266,-3.31907e-14,0,1083,1,30.4,-69.6,0,0.5,152
0.373252,-3.49736e-14,0,1082.91,1,30.6,-69.4,0,0.5,153
0.373239,-3.67565e-14,0,1082.82,1,30.8,-69.2,0,0.5,154
0.373225,-3.85393e-14,0,1082.73,1,31,-69,0,0.5,155
0.373212,-4.03222e-14,0,1082.64,1,31.2,-68.8,0,0.5,156
0.373198,-4.21051e-14,0,1082.56,1,31.4,-68.6,0,0.5,157
0.373185,-4.3888e-14,0,1082.47,1,31.6,-68.4,0,0.5,158
0.373171,-4.56709e-14,0,1082.38,1,31.8,-68.2,0,0.5,159
0.373158,-4.74537e-14,0,1082.29,1,32,-68,0,0.5,160
0.373144,-4.92366e-14,0,1082.21,1,32.2,-67.8,0,0.5,161
0.373131,-5.10195e-14,0,1082.12,1,32.4,-67.6,0,0.5,162
0.373117,-5.28024e-14,0,1082.03,1,32.6,-67.4,0,0.5,163
0.373104,-5.45853e-14,0,1081.94,1,32.8,-67.2,0,0.5,164
0.37309,-5.63682e-14,0,1081.85,1,33,-67,0,0.5,165
0.3731,-5.50969e-14,0,1081.76,1,33.2,-66.8,0,0.5,166
0.373117,-5.27154e-14,0,1081.67,1,33.4,-66.6,0,0.5,167
0.373135,-5.0334e-14,0,1081.57,1,33.6,-66.4,0,0.5,168
0.373152,-4.79525e-14,0,1081.48,1,33.8,-66.2,0,0.5,169
0.37317,-4.55711e-14,0,1081.38,1,34,-66,0,0.5,170
0.373188,-4.31897e-14,0,1081.28,1,34.2,-65.8,0,0.5,171
0.373205,-4.08082e-14,0,1081.19,1,34.4,-65.6,0,0.5,172
0.373223,-3.84269e-14,0,1081.09,1,34.6,-65.4,0,0.5,173
0.37324,-3.60454e-14,0,1081,1,34.8,-65.2,0,0.5,174
0.373258,-3.3664e-14,0,1080.9,1,35,-65,0,0.5,175
0.373276,-3.12826e-14,0,1080.81,1,35.2,-64.8,0,0.5,176
0.373293,-2.89011e-14,0,1080.71,1,35.4,-64.6,0,0.5,177
0.373311,-2.65197e-14,0,1080.62,1,35.6,-64.4,0,0.5,178
0.373328,-2.41383e-14,0,1080.52,1,35.8,-64.2,0,0.5,179
